date,cortarNo,py,change
2011-03,26200,334.78846153846155,-0.5227068651193156
2011-02,26200,336.54761904761904,-0.8904781938017137
2011-01,26200,339.57142857142856,-64.4427823485415
2025-01,26170,955.0,3.3191968149558493
2024-12,26170,924.32,-2.8521666016035563
2024-11,26170,951.4571428571429,0.9959019034729621
2024-10,26170,942.075,0.7287541580864865
2024-09,26170,935.2592592592592,25.854904526056742
2024-08,26170,743.125,-5.922380029275631
2024-07,26170,789.90625,-12.232638888888891
2024-06,26170,900.0,-0.06406149903908087
2024-05,26170,900.5769230769231,0.11972463334330996
2024-04,26170,899.5,14.541091194044476
2024-03,26170,785.3076923076923,6.762483290441668
2024-02,26170,735.5652173913044,-6.357069714665265
2024-01,26170,785.5,4.966592427616923
2023-12,26170,748.3333333333334,-8.272045167520991
2023-11,26170,815.8181818181819,-9.005735051956155
2023-10,26170,896.56,6.390139335476941
2023-09,26170,842.7096774193549,6.2958645690246895
2023-08,26170,792.7962962962963,-2.7298058194271446
2023-07,26170,815.0454545454545,6.4230619901031405
2023-06,26170,765.8541666666666,5.916806612005665
2023-05,26170,723.0714285714286,-1.1831888750147401
2023-04,26170,731.7291666666666,-9.314754888460486
2023-03,26170,806.8888888888889,-9.343688197688548
2023-02,26170,890.0526315789474,17.287800771524854
2023-01,26170,758.8620689655172,-17.956189197992334
2022-12,26170,924.9473684210526,34.831977903943525
2022-11,26170,686.0,-15.832045805689365
2022-10,26170,815.0370370370371,-8.601404915398092
2022-09,26170,891.7391304347826,-1.8043627876357715
2022-08,26170,908.125,6.275599765945006
2022-07,26170,854.5,-2.4469137681710884
2022-06,26170,875.9333333333333,-9.750760474928866
2022-05,26170,970.5714285714286,24.444507066067377
2022-04,26170,779.9230769230769,-16.270394094329877
2022-03,26170,931.4782608695652,4.716955309556314
2022-02,26170,889.52,-4.279782988835579
2022-01,26170,929.2916666666666,-12.771818080232434
2021-12,26170,1065.357142857143,36.70474204598835
2021-11,26170,779.3125,-8.827731281497474
2021-10,26170,854.7692307692307,-15.14966401954796
2021-09,26170,1007.3846153846154,2.0619748902643176
2021-08,26170,987.0322580645161,-2.0072218352428783
