cortarNo,centerLat,centerLon,cortarName,cortarType
41135,37.38282,127.118926,성남시 분당구,dvsn
41131,37.450396,127.145634,성남시 수정구,dvsn
41133,37.430523,127.13721,성남시 중원구,dvsn
41113,37.257607,126.971893,수원시 권선구,dvsn
41117,37.259116,127.046336,수원시 영통구,dvsn
41111,37.30416,127.010226,수원시 장안구,dvsn
41115,37.286537,127.035711,수원시 팔달구,dvsn
41390,37.380174,126.802938,시흥시,dvsn
41273,37.319537,126.811832,안산시 단원구,dvsn
41271,37.30114,126.845167,안산시 상록구,dvsn
41550,37.008018,127.279695,안성시,dvsn
41173,37.392574,126.951354,안양시 동안구,dvsn
41171,37.386649,126.932325,안양시 만안구,dvsn
41630,37.784952,127.045496,양주시,dvsn
41830,37.491776,127.487563,양평군,dvsn
41670,37.298342,127.637088,여주시,dvsn
41800,38.096872,127.075059,연천군,dvsn
41370,37.149889,127.077461,오산시,dvsn
41463,37.280156,127.114666,용인시 기흥구,dvsn
41465,37.322167,127.097962,용인시 수지구,dvsn
41461,37.234398,127.201597,용인시 처인구,dvsn
41430,37.344887,126.968279,의왕시,dvsn
41150,37.737933,127.033899,의정부시,dvsn
41500,37.278246,127.440997,이천시,dvsn
41480,37.7599,126.77976,파주시,dvsn
41220,36.992368,127.112763,평택시,dvsn
41650,37.894867,127.20024,포천시,dvsn
41450,37.539301,127.214874,하남시,dvsn
41590,37.199568,126.831325,화성시,dvsn
28710,37.746435,126.488025,강화군,dvsn
28245,37.53756,126.737771,계양구,dvsn
28200,37.447314,126.731574,남동구,dvsn
28140,37.473834,126.643244,동구,dvsn
28177,37.463418,126.650556,미추홀구,dvsn
28237,37.506817,126.721713,부평구,dvsn
28260,37.545441,126.675877,서구,dvsn
28185,37.410168,126.67828,연수구,dvsn
28720,37.256001,126.483907,옹진군,dvsn
28110,37.4737,126.621571,중구,dvsn
26440,35.212035,128.980525,강서구,dvsn
26410,35.243068,129.0921,금정구,dvsn
26710,35.244507,129.222173,기장군,dvsn
26290,35.136649,129.084175,남구,dvsn
26170,35.13904,129.0569,동구,dvsn
26260,35.205001,129.083625,동래구,dvsn
26230,35.162874,129.053137,부산진구,dvsn
26320,35.197185,128.990438,북구,dvsn
26530,35.152624,128.99125,사상구,dvsn
26380,35.104476,128.974763,사하구,dvsn
26140,35.097582,129.023425,서구,dvsn
26500,35.14564,129.113075,수영구,dvsn
26470,35.176235,129.079762,연제구,dvsn
26200,35.091199,129.067875,영도구,dvsn
26110,35.10619,129.032338,중구,dvsn
26350,35.163207,129.1637,해운대구,dvsn
30230,36.346724,127.415501,대덕구,dvsn
30110,36.3271,127.432663,동구,dvsn
30170,36.355465,127.383766,서구,dvsn
30200,36.362322,127.356268,유성구,dvsn
30140,36.325808,127.421363,중구,dvsn
27200,35.846024,128.597613,남구,dvsn
27290,35.829983,128.532775,달서구,dvsn
27710,35.7746,128.43145,달성군,dvsn
27140,35.886649,128.6355,동구,dvsn
27230,35.885674,128.582838,북구,dvsn
27170,35.871757,128.559175,서구,dvsn
27260,35.858215,128.630587,수성구,dvsn
27110,35.86934,128.606188,중구,dvsn
27720,36.242942,128.572656,군위군,dvsn
31140,35.543825,129.329938,남구,dvsn
31170,35.504954,129.416673,동구,dvsn
31200,35.582708,129.361375,북구,dvsn
31710,35.533817,129.294975,울주군,dvsn
31110,35.56945,129.3327,중구,dvsn
36110,36.592907,127.292375,세종시,dvsn
29200,35.139524,126.793688,광산구,dvsn
29155,35.122124,126.90805,남구,dvsn
29110,35.145999,126.923312,동구,dvsn
29170,35.17406,126.911963,북구,dvsn
29140,35.152699,126.891275,서구,dvsn
51150,37.752049,128.875832,강릉시,dvsn
51820,38.380698,128.467902,고성군,dvsn
51170,37.524714,129.114191,동해시,dvsn
51230,37.450018,129.165125,삼척시,dvsn
51210,38.207093,128.591987,속초시,dvsn
51800,38.109624,127.990113,양구군,dvsn
