date,cortarNo,py,change
2020-05,52800,329.1858974358974,-13.828274178056043
2020-04,52800,382.01149425287355,-26.76843019866162
2020-03,52800,521.6486486486486,51.197941699436214
2020-02,52800,345.0104166666667,-6.40612637052107
2020-01,52800,368.625,-23.273457663808173
2019-12,52800,480.44,32.19853952799239
2019-11,52800,363.4230769230769,-1.0629501922625573
2019-10,52800,367.3275862068965,-2.7130872702127995
2019-09,52800,377.57142857142856,-28.309222423146473
2019-08,52800,526.6666666666666,2.7441799973988656
2019-07,52800,512.6,40.67553303778764
2019-06,52800,364.38461538461536,-9.977194982896243
2019-05,52800,404.7692307692308,-14.90858373002638
2019-04,52800,475.6875,17.799970518867923
2019-03,52800,403.8095238095238,3.3044007918379803
2019-02,52800,390.8928571428571,1.3697079465700757
2019-01,52800,385.6111111111111,-11.061687717371417
2018-12,52800,433.57142857142856,24.754948460127736
2018-11,52800,347.53846153846155,-7.179775523885734
2018-10,52800,374.42105263157896,-6.133997947515035
2018-09,52800,398.8888888888889,7.217902360457806
2018-08,52800,372.0357142857143,-16.229136137817648
2018-07,52800,444.1111111111111,5.153345677888077
2018-06,52800,422.3461538461538,-1.4622685761134346
2018-05,52800,428.6136363636364,7.725701882158065
2018-04,52800,397.875,-38.04688390110517
2018-03,52800,642.219512195122,48.36969174231209
2018-02,52800,432.85087719298247,-4.944852106119946
2018-01,52800,455.3681592039801,4.107946777315985
2017-12,52800,437.4,12.780403953588305
2017-11,52800,387.8333333333333,-2.717391304347838
2017-10,52800,398.6666666666667,-30.358832520561908
2017-09,52800,572.4583333333334,23.83725122584368
2017-08,52800,462.26666666666665,55.30917526597874
2017-07,52800,297.6428571428571,-22.488839285714292
2017-06,52800,384.0,-4.457806344598792
2017-05,52800,401.91666666666663,7.450668364099289
2017-04,52800,374.04761904761904,-10.570135813078895
2017-03,52800,418.258064516129,19.14826359278974
2017-02,52800,351.03999999999996,-2.2717149220490063
2017-01,52800,359.2,12.610706168194996
2016-12,52800,318.975,-14.369127516778512
2016-11,52800,372.5,10.324969148498543
2016-10,52800,337.6388888888889,0.3384513785702481
2016-09,52800,336.5,31.416793230635708
2016-08,52800,256.05555555555554,-2.640473172792568
2016-07,52800,263.0,-29.05952166876461
2016-06,52800,370.73333333333335,12.322161206842154
2016-05,52800,330.0625,-13.683112049889356
2016-04,52800,382.38461538461536,16.51407057996279
2016-03,52800,328.1875,-9.340469613259671
2016-02,52800,362.0,16.025641025641036
2016-01,52800,312.0,-2.739950779327316
2015-12,52800,320.7894736842105,0.045725809288210684
2015-11,52800,320.6428571428571,-2.1522394283439827
2015-10,52800,327.695652173913,-3.0725209246498353
2015-09,52800,338.0833333333333,-4.02534986802131
2015-08,52800,352.2631578947368,11.239167638343893
2015-07,52800,316.671875,-2.161109680741491
2015-06,52800,323.66666666666663,-4.7338729457934825
2015-05,52800,339.75,-7.725883893496288
2015-04,52800,368.19642857142856,13.02169551728296
2015-03,52800,325.775,1.1461836998706065
2015-02,52800,322.08333333333337,4.794977683226986
2015-01,52800,307.3461538461538,-8.049019043783456
2014-12,52800,334.25,13.763029142735594
2014-11,52800,293.8125,-1.9603753910323207
2014-10,52800,299.6875,-7.432432432432434
2014-09,52800,323.75,1.9341054762172405
2014-08,52800,317.6071428571429,-11.762176702753946
2014-07,52800,359.94444444444446,3.594685737542891
2014-06,52800,347.45454545454544,-7.455137345637497
2014-05,52800,375.44444444444446,12.156667496473329
2014-04,52800,334.75,8.72919204222493
2014-03,52800,307.875,-5.276517190985297
2014-02,52800,325.025,-4.719677537559552
2014-01,52800,341.125,1.7593220338983029
2013-12,52800,335.22727272727275,-14.916935856022139
2013-11,52800,394.0,26.63257852447043
2013-10,52800,311.1363636363636,-14.803843473065815
2013-09,52800,365.2,-3.3929690219282937
